value,zipcode,Total Population,Not Hispanic,NonHisp White,NonHisp Black,Hispanic,Hisp White,Hisp Black,Percent NonHisp White,Percent NonHisp Black,Violent Crime Rate,Total Population,In Poverty,Percent In Poverty
117,91401,41019,22653,17201,2005,18366,7052,153,41.9342256,4.887978742,836.1978595,40908,9082,22.20103647
118,91402,71765,19124,5539,1725,52641,28032,170,7.718247056,2.403678673,682.784087,71189,19411,27.26685303
119,91403,24579,22313,18027,1431,2266,1861,53,73.34309777,5.822043208,488.2216526,24511,1781,7.266125413
120,91405,54356,20297,13064,1970,34059,9197,30,24.03414526,3.624254912,877.5480168,53992,13599,25.18706475
121,91406,55385,23842,15275,2597,31543,9662,56,27.57966959,4.688995215,357.4975174,55235,10847,19.63791074
122,91411,25290,12677,9039,1082,12613,8989,160,35.74139976,4.278370898,1178.331356,24935,5209,20.89031482
123,91423,34140,29891,24170,1799,4249,3402,41,70.79671939,5.269478617,369.0685413,34018,2789,8.198600741
124,91436,14353,13704,12188,161,649,522,0,84.91604543,1.121716714,438.9326273,14256,554,3.886083053
125,91504,26833,20517,14452,529,6316,3421,57,53.85905415,1.971453062,48.44780681,26580,2353,8.852520692
126,91601,39318,24049,16363,2863,15269,9407,159,41.61707106,7.281652169,920.6978992,39241,8556,21.8037257
127,91602,18615,15994,12423,1304,2621,1446,25,66.73650282,7.005103411,660.7574537,18600,2016,10.83870968
128,91604,30386,27411,22526,1361,2975,2262,229,74.13282433,4.479036398,315.9349701,30077,1874,6.230674602
129,91605,55377,21536,14617,1804,33841,18824,375,26.39543493,3.257670152,805.3885187,54860,12849,23.42143638
130,91606,45040,20569,15489,1794,24471,13011,272,34.38943162,3.98312611,943.6056838,44794,9423,21.0362995
131,91607,31405,23968,18840,2162,7437,5778,51,59.99044738,6.8842541,608.1834103,30993,3568,11.51227697
